title,author,url,content
"Survey Finds More Python Developers Like PostgreSQL, AI Coding Agents - and Rust for Packages",EditorDavid,https://developers.slashdot.org/story/25/08/25/0527225/survey-finds-more-python-developers-like-postgresql-ai-coding-agents---and-rust-for-packages,"Most still use older Python versions despite benefits of newer releases... Many of us (15%) are running on the very latest released version of Python, but more likely than not, we're using a version … [+2017 chars]"
New Python Documentary Released On YouTube,EditorDavid,https://developers.slashdot.org/story/25/08/30/0314222/new-python-documentary-released-on-youtube,"""From a side project in Amsterdam to powering AI at the world's biggest companies — this is the story of Python,"" says the description of a new 84-minute documentary.Long-time Slashdot reader destiny… [+2841 chars]"
"Burmese pythons in Florida digest prey, including skeletons. Here's how","Cheryl McCloud, Treasure Coast Newspapers",https://www.palmbeachpost.com/story/news/2025/08/20/pythons-in-florida-digest-skeletons-with-bone-digesting-cell/85708402007/,"Just when you thought you knew everything about one of Florida's least-favorite invasive species, a surprise emerges.
Scientists have discovered a new type of cell that helps Burmese pythons digest … [+4141 chars]"
Reloading Classes in Python,,https://andrewpwheeler.com/2025/08/26/reloading-classes-in-python-and-shared-borders/,"For some housekeeping, if you are not signed up, also make sure to sign up for the RSS feed of my crime de-coder blog. I have not been cross posting here consistently. For the last few posts:
For AS… [+4387 chars]"
Anatomy of a Python Loop,Oren Cohen,https://orencodes.io/anatomy-of-a-python-loop/,"Last time, when we built our little dice-rolling function, we learned how to package up logic into reusable blocks. One die roll at a time was cool but any tabletop nerd knows the real action starts … [+3425 chars]"
Python f-string cheat sheet,,https://fstring.help/cheat/,"See fstring.help for more examples and for a more detailed discussion of this syntax see this string formatting article.
All numbers
The below examples assume the following variables:
&gt;&gt;&gt;… [+4262 chars]"
PYX: The next step in Python packaging,,https://astral.sh/pyx,"Speed up installs from PyPI, PyTorch, and your own private sources with optimized artifacts and uv-native metadata APIs. An order of magnitude faster than other private registries.
Create dedicated … [+487 chars]"
PYX: The next step in Python packaging,,https://astral.sh/blog/introducing-pyx,"TL;DR:pyx is a Python-native package registry and the first piece of the Astral
platform, our next-generation infrastructure for the Python ecosystem.
We think of pyx as an optimized backend for uv… [+4751 chars]"
Sharing a mutable reference between Rust and Python,,https://blog.lilyf.org/posts/python-mutable-reference/,"Background#
As part of my ongoing project to reimplement Django’s templating language in Rust, I have been adding support for custom template tags.
The simplest custom tag will look something like:… [+13754 chars]"
heise+ | Webseiten mit Playwright un Python scrapen,Dr. Roland Pleger,https://www.heise.de/ratgeber/Webseiten-mit-Playwright-un-Python-scrapen-10511227.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,"Inhaltsverzeichnis
Das Zusammentragen von Informationen aus Webseiten ist dann simpel, wenn das Ziel eine statische Seite ist hier reicht ein einfaches Python-Skript, das die Webseite über das Reque… [+1588 chars]"
Further Adventures in Colorimeter Hacking,Aaron Beckendorf,https://hackaday.com/2025/09/09/further-adventures-in-colorimeter-hacking/,"One of the great things about sharing hacks is that sometimes one persons work inspires someone else to take it even further. A case in point is [Ivor]s colorimeter hacking (parts two and three), whi… [+2314 chars]"
Measuring Nanoparticles by Scattering a Laser,Aaron Beckendorf,https://hackaday.com/2025/08/30/measuring-nanoparticles-by-scattering-a-laser/,"A fundamental difficulty of working with nanoparticles is that your objects of study are too small for an optical microscope to resolve, and thus measuring their size can be quite a challenge. Of cou… [+1891 chars]"
Python has had async for 10 years – why isn't it more popular?,,https://tonybaloney.github.io/posts/why-isnt-python-async-more-popular.html,"The Python Documentary dropped this morning. In the middle of the documentary, there’s a dramatic segment about how the transition from Python 2 to 3 divided the community (spoiler alert: it didn’t i… [+17586 chars]"
"Static sites with Python, uv, Caddy, and Docker",,https://nkantar.com/blog/2025/08/static-python-uv-caddy-docker/,"Wednesday, August 20, 2025
Static Sites with Python, uv, Caddy, and Docker
My preferred deployment stack for Python-built static sites.
Ive largely switched to uv at this point and its been pretty… [+8479 chars]"
ThinkMesh: A Python lib for parallel thinking in LLMs,martianlantern,https://github.com/martianlantern/ThinkMesh,"ThinkMesh is a python library for running diverse reasoning paths in parallel, scoring them with internal confidence signals, reallocates compute to promising branches, and fuses outcomes with verifi… [+5074 chars]"
SpaCy: Industrial-Strength Natural Language Processing (NLP) in Python,explosion,https://github.com/explosion/spaCy,"spaCy is a library for advanced Natural Language Processing in Python and
Cython. It's built on the very latest research, and was designed from day one to
be used in real products.
spaCy comes wit… [+8515 chars]"
Dynamically patch a Python function's source code at runtime,,https://ericmjl.github.io/blog/2025/8/23/wicked-python-trickery-dynamically-patch-a-python-functions-source-code-at-runtime/,"So today, I learned a very dangerous and yet fascinating trick.
It's possible to dynamically change a Python function's source code at runtime.
What this does is open a world of possibilities in bu… [+14632 chars]"
Uv format: Code Formatting Comes to uv (experimentally),,https://pydevtools.com/blog/uv-format-code-formatting-comes-to-uv-experimentally/,"The latest uv release (0.8.13) quietly introduced an experimental new command that Python developers have been waiting for: uv format. This addition brings code formatting directly into uv’s toolkit,… [+1568 chars]"
heise+ | Diffusers: Wie Sie Bilder mit Python und KI lokal generieren und verändern,Gerhard Völkl,https://www.heise.de/ratgeber/Diffusers-Wie-Sie-Bilder-mit-Python-und-KI-lokal-generieren-und-veraendern-10622725.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,"Inhaltsverzeichnis
Mit der Bibliothek Diffusers reichen in Python nur zwei Programmzeilen aus, um per KI Bilder zu generieren. Das Programm erzeugt eine Verarbeitungs-Pipeline und erstellt damit bel… [+1377 chars]"
dbcrust: The modern database CLI that speaks your language,clement-tourriere,https://github.com/clement-tourriere/dbcrust,"A modern database CLI that speaks your language. DBCrust combines the speed of Rust with intelligent features like context-aware autocompletion, SSH tunneling, Vault integration, and powerful Django … [+3628 chars]"
Debugging vs Printing,Al Williams,https://hackaday.com/2025/09/11/debugging-vs-printing/,"We’ll admit it. We have access to great debugging tools and, yes, sometimes they are invaluable. But most of the time, we’ll just throw a few print statements in whatever program we’re running to bet… [+1108 chars]"
Reverse Engineering a (Toy) Fire Engine,Al Williams,https://hackaday.com/2025/09/06/reverse-engineering-a-toy-fire-engine/,"Your kid has a toy remote control fire truck. You have an RTL SDR. See where this is going? [Jacob] couldn’t resist tearing into the why and how of the truck’s remote control protocol.
The entire pr… [+1078 chars]"
Universal Tool Calling Protocol (UTCP),universal-tool-calling-protocol,https://github.com/universal-tool-calling-protocol/python-utcp,"The Universal Tool Calling Protocol (UTCP) is a modern, flexible, and scalable standard for defining and interacting with tools across a wide variety of communication protocols. UTCP 1.0.0 introduces… [+13885 chars]"
Show HN: Omnara – Run Claude Code from Anywhere,omnara-ai,https://github.com/omnara-ai/omnara,"Your AI workforce launchpad, in your pocket.
Download iOS AppTry Web DashboardStar on GitHub
Omnara transforms your AI agents (Claude Code, Cursor, GitHub Copilot, and more) from silent workers int… [+7536 chars]"
A noise attack on license plate readers (Flock AI),bennjordan,https://github.com/bennjordan/PlateShapez,"A research tool for generating adversarially perturbed license plate overlays on vehicle images, producing structured datasets with reproducibility, transparency, and ethical guardrails.
Design Prin… [+7304 chars]"
WiFi-3D-Fusion – Real-time 3D motion sensing with Wi-Fi,MaliosDark,https://github.com/MaliosDark/wifi-3d-fusion,"Live local Wi-Fi sensing with CSI: real-time motion detection + visualization, with optional bridges to:
<ul><li>Person-in-WiFi-3D (multi-person 3D pose from Wi-Fi) [CVPR 2024].</li><li>NeRF² (neura… [+20037 chars]"
Litellm (YC W23) is hiring a back end engineer,,https://www.ycombinator.com/companies/litellm/jobs/6uvoBp3-founding-backend-engineer,"TLDR
LiteLLM is an open-source LLM Gateway with 27K+ stars on GitHub and trusted by companies like NASA, Rocket Money, Samsara, Lemonade, and Adobe. Were rapidly expanding and seeking a founding ful… [+2264 chars]"
Python - Comment un petit projet de Noël est devenu le langage de l'IA et de la science,Korben,https://korben.info/python-documentaire-histoire.html,"Y’a pas une semaine qui passe sans que je code un petit peu de Python, alors quand je suis tombé sur
ce documentaire que Cult.Repo vient de sortir
, je me suis dit que c’était l’occasion d’en appre… [+3262 chars]"
Counting Words at SIMD Speed,,https://healeycodes.com/counting-words-at-simd-speed,"I've written some progressively faster word counting programs. First, we'll start with Python, and then we'll drop down to C, and finally, we'll use single instruction, multiple data (SIMD) programmi… [+11127 chars]"
Pascal? On my Arduino? It’s More Likely Than You Think,Tyler August,https://hackaday.com/2025/08/27/pascal-on-my-arduino-its-more-likely-than-you-think/,"The Arduino ecosystem is an amazing learning tool, but even those of us who love it admit that even the simplified C Arduino uses isn’t the ideal teaching language. Those of us who remember learning … [+1716 chars]"
Roll Your Own SSB Receiver,Al Williams,https://hackaday.com/2025/08/19/roll-your-own-ssb-receiver/,"[Paul Maine] was experimenting with GNU Radio and an RTL-SDR dongle. He created an SSB receiver and, lucky for us, he documented it all in a video you can see below. He walks through how to generate … [+1207 chars]"
The (Data) Plot Thickens,Al Williams,https://hackaday.com/2025/08/28/the-data-plot-thickens/,"You’ve generated a ton of data. How do you analyze it and present it? Sure, you can use a spreadsheet. Or break out some programming tools. Or try LabPlot. Sure, it is sort of like a spreadsheet. But… [+1488 chars]"
Silent No More: Open-Source Fix for Mic Mishaps,Matt Varian,https://hackaday.com/2025/08/30/silent-no-more-open-source-fix-for-mic-mishaps/,"“Sorry, my mic was muted…” With the rise of video calls, we’ve all found ourselves rushing to mute or unmute our mics in the midst of a call. This open-source Mute Button, sent in by [blackdevice], a… [+1409 chars]"
Python survey shows growth even as Foundation funding falters,Tim Anderson,https://www.theregister.com/2025/08/19/python_survey/,"The Python Software Foundation (PSF), in association with tools vendor JetBrains, has published the eighth Python Developer Survey, with more than 30,000 contributors, making it the biggest yet.
The… [+3618 chars]"
How An Attacker's Blunder Gave Us a Rare Look Inside Their Day-to-Day Operations,Jamie Levy,https://www.huntress.com/blog/rare-look-inside-attacker-operation,"Figure 8: Threat actor starts to rely on automated workflows
The threat actor also appeared to be interested in other AI tools to help with data generation and writing. We saw multiple Google search… [+13049 chars]"
Windows-Use: an AI agent that interacts with Windows at GUI layer,CursorTouch,https://github.com/CursorTouch/Windows-Use,"Windows-Use is a powerful automation agent that interact directly with the Windows at GUI layer. It bridges the gap between AI Agents and the Windows OS to perform tasks such as opening apps, clickin… [+1705 chars]"
Delphi (Object Pascal) in the Age of AI,,https://learndelphi.org/delphi-ai-ultimate-guide/,Machine Learning is a branch of artificial intelligence that deals with the design and development of algorithms that can learn from and make predictions on data. Machine Learning algorithms have bee… [+1756 chars]
Nvidia Tilus: A Tile-Level GPU Kernel Programming Language,NVIDIA,https://github.com/NVIDIA/tilus,"Documentation | Paper
Tilus is a powerful domain-specific language (DSL) for GPU programming that offers:
<ul><li>Thread-block-level granularity with tensors as the primary data type.</li><li>Expli… [+1436 chars]"
Closer to the Metal: Leaving Playwright for CDP,,https://browser-use.com/posts/playwright-to-cdp,"Goodbye Playwright, Hello CDP
Playwright and Puppeteer are great for making QA tests and automation scripts short and readable, but as AI browser companies have been learning the hard way over the l… [+15427 chars]"
heise+ | So rechnen Sie selbst auf einem Quantencomputer,Dr. Sabrina Patsch,https://www.heise.de/ratgeber/So-rechnen-Sie-selbst-auf-einem-Quantencomputer-10514870.html?wt_mc=rss.red.ho.ho.atom.beitrag_plus.beitrag_plus,"Inhaltsverzeichnis
Quantencomputer sind keine Vision von morgen, keine mystische Zukunftstechnologie, sondern es gibt sie bereits heute und Sie können sie benutzen. Zugegeben, heutige Geräte sind no… [+2082 chars]"
